ReinChange = 16, Volatility: 1.55, BradleyChange = 16, Volatility: 1.55, ThomasChange = 16, Volatility: 1.55, HoekChange = 16, Volatility: 1.55, JackChange = -16, Volatility: 1.55, WesselChange = -16, Volatility: 1.55, TomChange = -16, Volatility: 1.55, NielsChange = -16, Volatility: 1.55, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 21/10/2022 15:44:22
ReinChange = 102.43132210319803, Volatility: 0.6676470588235293, RikChange = 32.159632201891874, Volatility: 1.55, LukeChange = 40.09619953192175, Volatility: 0.690625, RachelChange = 30.175490369384406, Volatility: 1.1928571428571428, AlvesChange = -4.474661175164525, Volatility: 1.1928571428571428, AaronChange = -10.44087607538389, Volatility: 1.08125, JackChange = -19.390198425712942, Volatility: 0.7807692307692307, AlexChange = -4.474661175164525, Volatility: 0.8208333333333333, Team1Perf = 1421, Team2Perf = 697, DateOfMatch = 21/10/2022 15:44:22
LukeChange = 7.876801286034212, Volatility: 0.6676470588235293, AaronChange = 6.751543959457896, Volatility: 0.9944444444444445, AlexChange = 46.88572194067983, Volatility: 0.7807692307692307, RikChange = 1.125257326576316, Volatility: 1.3416666666666668, ReinChange = -256.9017250056658, Volatility: 0.6472222222222221, JackChange = -126.25078185390427, Volatility: 0.7464285714285714, RachelChange = -63.294627899946654, Volatility: 1.08125, AlvesChange = -67.35631525181488, Volatility: 1.08125, Team1Perf = 1530, Team2Perf = 631, DateOfMatch = 21/10/2022 15:44:22
ReinChange = 16, Volatility: 1.55, BradleyChange = 16, Volatility: 1.55, ThomasChange = 16, Volatility: 1.55, HoekChange = 16, Volatility: 1.55, JackChange = -16, Volatility: 1.55, WesselChange = -16, Volatility: 1.55, TomChange = -16, Volatility: 1.55, NielsChange = -16, Volatility: 1.55, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 21/10/2022 15:44:47
ReinChange = 7.429065639835508, Volatility: 1.3416666666666668, JackChange = 7.429065639835508, Volatility: 1.3416666666666668, AlexChange = 38.6930502074766, Volatility: 1.55, AaronChange = 38.6930502074766, Volatility: 1.55, MossChange = -1.8572664099588767, Volatility: 1.55, AdamChange = -1.8572664099588767, Volatility: 1.55, HoekChange = -5.57179922987663, Volatility: 1.3416666666666668, LukeChange = -1.8572664099588767, Volatility: 1.55, Team1Perf = 1404, Team2Perf = 600, DateOfMatch = 21/10/2022 15:44:47
AronChange = 14.051884485063805, Volatility: 1.55, ReinChange = 20.537369632016333, Volatility: 1.1928571428571428, LukeChange = 15.49310340660881, Volatility: 1.3416666666666668, ThomasChange = 9.007618259656285, Volatility: 1.3416666666666668, JackChange = -22.00062774990484, Volatility: 1.1928571428571428, AdamChange = -11.901978946669832, Volatility: 1.3416666666666668, MossChange = -11.901978946669832, Volatility: 1.3416666666666668, AlexChange = -45.8045856432445, Volatility: 1.3416666666666668, Team1Perf = 2007, Team2Perf = 9, DateOfMatch = 21/10/2022 15:44:47
ReinChange = 18.32147429105289, Volatility: 1.08125, MossChange = 26.59568848701226, Volatility: 1.1928571428571428, AaronChange = 13.593351893361822, Volatility: 1.3416666666666668, AronChange = 5.319137697402452, Volatility: 1.3416666666666668, LukeChange = -12.432822067077105, Volatility: 1.1928571428571428, AdamChange = -8.880587190769361, Volatility: 1.1928571428571428, AlexChange = -4.144274022359035, Volatility: 1.1928571428571428, KoenChange = -0.5920391460512908, Volatility: 1.55, Team1Perf = 1599, Team2Perf = 421, DateOfMatch = 21/10/2022 15:44:47
LukeChange = 5.580319738174688, Volatility: 1.08125, ReinChange = 19.17600782754575, Volatility: 0.9944444444444445, KoenChange = 6.7978440446855295, Volatility: 1.3416666666666668, LuddowChange = 6.7978440446855295, Volatility: 1.55, JackChange = -8.53974964486562, Volatility: 1.08125, NielsChange = -2.846583214955207, Volatility: 1.3416666666666668, TomChange = -2.846583214955207, Volatility: 1.3416666666666668, ThomasChange = -14.232916074776032, Volatility: 1.1928571428571428, Team1Perf = 1391, Team2Perf = 616, DateOfMatch = 21/10/2022 15:44:47
ReinChange = 0.29180914425265353, Volatility: 0.925, LukeChange = -0.06261491759267464, Volatility: 0.9944444444444445, BradleyChange = -0.02953533848711068, Volatility: 1.3416666666666668, AdamChange = -0.1996588881728682, Volatility: 1.08125, ThomasChange = 0.02227808388742063, Volatility: 1.08125, MossChange = 0.010126401767009376, Volatility: 1.08125, AaronChange = -0.14379490509153314, Volatility: 1.1928571428571428, AlexChange = 0.11139041943710315, Volatility: 1.08125, Team1Perf = 1017, Team2Perf = 1022, DateOfMatch = 21/10/2022 15:44:47
ReinChange = 99.9430633255103, Volatility: 0.8681818181818182, AdamChange = 51.59515543519123, Volatility: 0.9944444444444445, BradleyChange = 0.36080528276357504, Volatility: 1.1928571428571428, TomChange = 48.70871317308263, Volatility: 1.1928571428571428, LukeChange = -0.722518708700479, Volatility: 0.925, MossChange = -9.392743213106227, Volatility: 0.9944444444444445, ThomasChange = -5.057630960903353, Volatility: 0.9944444444444445, JeftaChange = -13.727855465309101, Volatility: 1.55, Team1Perf = 2009, Team2Perf = 15, DateOfMatch = 21/10/2022 15:44:47
MarlonChange = -19.006813745920763, Volatility: 1.55, LuddowChange = -16.332488193730907, Volatility: 1.3416666666666668, ReinChange = -51.67179013338258, Volatility: 0.8208333333333333, MossChange = -16.332488193730907, Volatility: 0.925, LukeChange = 1.4708859375167882, Volatility: 0.8681818181818182, TomChange = 6.449269110650533, Volatility: 1.08125, ThomasChange = 1.2445957932834362, Volatility: 0.925, JackChange = 9.164750841450756, Volatility: 0.9944444444444445, Team1Perf = 802, Team2Perf = 1249, DateOfMatch = 21/10/2022 15:44:47
